,ann_return,ann_vol,sharpe,max_drawdown,cvar_95,calmar,skew,kurtosis,n_days
固定调仓,19.6,15.27,1.2831,-12.16,-2.0884,1.6119,-0.2396,10.6185,474.0
自适应调仓,18.24,15.26,1.1959,-13.81,-2.1112,1.3207,-0.2731,10.3116,474.0
