,类别,年化收益(%),年化波动(%),偏度,峰度
工商银行,权益,16.75,16.49,0.254,5.813
招商银行,权益,-25.82,22.4,0.668,1.334
中国平安,权益,-12.39,26.18,0.988,3.295
贵州茅台,权益,2.55,20.48,0.397,3.173
宁德时代,权益,-28.81,31.04,0.528,1.459
比亚迪,权益,-28.22,27.13,0.254,1.433
中国石油,权益,41.56,29.85,0.695,3.297
紫金矿业,权益,19.8,31.34,0.723,2.103
企业债指数,固定收益,3.99,0.23,1.557,5.353
国债ETF,固定收益,3.41,1.3,-0.048,3.598
十年国债ETF,固定收益,4.43,1.48,-0.767,2.764
短债ETF,固定收益,1.71,1.96,-1.472,6.574
五年地债ETF,固定收益,1.19,1.65,-2.542,13.296
活跃国债ETF,固定收益,3.76,1.34,-0.096,2.015
沪深300ETF,权益,-12.65,13.28,0.452,0.856
中证500ETF,权益,-8.21,12.63,-0.202,0.55
创业板ETF,权益,-22.72,17.89,0.544,0.621
上证50ETF,权益,-12.38,14.28,0.38,1.245
银行ETF,权益,-4.04,14.52,0.557,2.321
证券ETF,权益,3.4,22.57,0.892,3.829
医药ETF,权益,-15.57,18.73,0.425,0.485
红利ETF,权益,2.43,11.78,-0.233,3.127
黄金ETF,商品,16.04,9.79,0.326,2.538
能源化工ETF,商品,8.0,18.66,-0.11,0.546
豆粕ETF,商品,6.79,18.8,0.402,2.395
十年国债期货,固定收益,2.73,2.27,-1.092,3.276
五年国债期货,固定收益,1.54,1.59,-0.936,2.951
沪深300股指期货,衍生品,-12.99,13.97,0.437,0.832
中证500股指期货,衍生品,-9.68,12.82,-0.183,0.639
上证50股指期货,衍生品,-13.55,14.79,0.388,1.297
