,degree,betweenness,closeness,eigenvector
工商银行,0.034482758620689655,0.0,0.1638418079096045,0.03638884245316058
招商银行,0.06896551724137931,0.24630541871921183,0.2283464566929134,0.1563873628480529
中国平安,0.06896551724137931,0.06896551724137931,0.21804511278195488,0.14189555406030677
贵州茅台,0.034482758620689655,0.0,0.2396694214876033,0.18829351612895434
宁德时代,0.06896551724137931,0.06896551724137931,0.1518324607329843,0.02617842856278942
比亚迪,0.034482758620689655,0.0,0.1324200913242009,0.0102836853648325
中国石油,0.034482758620689655,0.0,0.14285714285714285,0.01690313241651175
紫金矿业,0.10344827586206896,0.5073891625615764,0.2871287128712871,0.3484463649710743
企业债指数,0.034482758620689655,0.0,0.18012422360248448,0.05574131255470169
国债ETF,0.034482758620689655,0.0,0.18238993710691823,0.10893714260933801
十年国债ETF,0.06896551724137931,0.1330049261083744,0.1870967741935484,0.1332552782340724
短债ETF,0.06896551724137931,0.06896551724137931,0.16022099447513813,0.061902192257288415
五年地债ETF,0.034482758620689655,0.0,0.13875598086124402,0.024318135624734387
活跃国债ETF,0.034482758620689655,0.0,0.18238993710691823,0.10893714260933801
沪深300ETF,0.034482758620689655,0.0,0.21804511278195488,0.1484712011551016
中证500ETF,0.06896551724137931,0.24630541871921183,0.20279720279720279,0.09514571813934503
创业板ETF,0.10344827586206896,0.19704433497536947,0.17575757575757575,0.05635674543258724
上证50ETF,0.10344827586206896,0.4039408866995074,0.27102803738317754,0.30546897069391044
银行ETF,0.10344827586206896,0.19704433497536947,0.19463087248322147,0.0926319772093019
证券ETF,0.034482758620689655,0.0,0.21804511278195488,0.1484712011551016
医药ETF,0.034482758620689655,0.0,0.15025906735751296,0.022138689056194795
红利ETF,0.06896551724137931,0.06896551724137931,0.1657142857142857,0.04302892414251325
黄金ETF,0.06896551724137931,0.3793103448275862,0.25217391304347825,0.24581961767525068
能源化工ETF,0.06896551724137931,0.06896551724137931,0.2283464566929134,0.16186096106563092
豆粕ETF,0.034482758620689655,0.0,0.1870967741935484,0.06358491399769708
十年国债期货,0.1724137931034483,0.3694581280788177,0.22137404580152673,0.27730323683595903
五年国债期货,0.034482758620689655,0.0,0.18238993710691823,0.10893714260933801
沪深300股指期货,0.13793103448275862,0.4458128078817734,0.2761904761904762,0.3779494016974744
中证500股指期货,0.06896551724137931,0.2955665024630542,0.23577235772357724,0.18584750396838778
上证50股指期货,0.13793103448275862,0.7068965517241379,0.3118279569892473,0.479320333729493
