年份,MST_节点,MST_边,MST_平均路径,PMFG_边,PMFG_平均度,PMFG_模块度,社区数,RMT_信号特征值,RMT_信号方差占比,随机网络_模块度p值
2023,30,29,5.239,84,5.6,0.5019,3,2,45.8,0.0
2024,30,29,5.271,84,5.6,0.4023,4,2,57.7,0.0
2025,30,29,5.708,84,5.6,0.5183,3,3,50.3,0.0
