,类别,年化收益(%),年化波动(%),偏度,峰度
工商银行,权益,43.83,20.33,-0.243,1.489
招商银行,权益,43.3,24.69,0.232,3.842
中国平安,权益,36.63,29.02,0.662,6.589
贵州茅台,权益,-7.08,27.14,1.174,7.497
宁德时代,权益,56.97,43.56,1.006,8.337
比亚迪,权益,41.39,33.73,0.566,1.753
中国石油,权益,28.82,33.74,0.244,4.097
紫金矿业,权益,21.86,34.17,-0.35,0.298
企业债指数,固定收益,5.02,0.22,1.454,3.81
国债ETF,固定收益,6.07,1.74,-0.696,3.601
十年国债ETF,固定收益,8.7,2.73,-0.985,3.755
短债ETF,固定收益,7.97,3.29,-1.453,5.427
五年地债ETF,固定收益,5.18,2.15,-1.923,7.227
活跃国债ETF,固定收益,7.43,2.73,-2.082,14.633
沪深300ETF,权益,16.36,20.73,0.915,9.131
中证500ETF,权益,5.81,28.64,1.257,5.753
创业板ETF,权益,10.99,38.76,1.254,12.677
上证50ETF,权益,18.11,18.96,0.943,8.264
银行ETF,权益,38.59,19.15,-0.196,3.363
证券ETF,权益,28.48,32.92,1.534,5.323
医药ETF,权益,-12.6,30.31,1.037,7.967
红利ETF,权益,13.87,18.99,0.147,6.622
黄金ETF,商品,25.03,13.8,-0.546,2.06
能源化工ETF,商品,-12.32,14.54,0.081,2.29
豆粕ETF,商品,-16.29,17.65,-0.263,0.787
十年国债期货,固定收益,6.22,2.66,-0.813,3.36
五年国债期货,固定收益,4.12,1.84,-0.277,1.459
沪深300股指期货,衍生品,15.03,21.66,0.943,8.327
中证500股指期货,衍生品,4.7,30.22,1.257,5.611
上证50股指期货,衍生品,16.04,20.06,1.024,8.48
