date,工商银行,建设银行,农业银行,招商银行,兴业银行,平安银行,中国平安,中信证券,中国人寿,万科A,保利发展,贵州茅台,五粮液,伊利股份,海天味业,恒瑞医药,药明康德,迈瑞医疗,宁德时代,比亚迪,海康威视,立讯精密,中国石油,中国神华,紫金矿业,三一重工,中国中免,美的集团,中国移动,中兴通讯,沪深300指数,中证500指数
2024-01-02,4.29039821,5.8080553,3.26911566,24.3069435,12.9319083,7.98726198,35.83216851,19.05407667,27.02330937,10.15,8.78884487,1567.46033238,122.447736,23.75133748,35.30830636,44.09173818,67.0970355,279.53985951,148.82335801,62.6722326,31.69763641,33.5431871,6.42884886,28.41273764,11.99916798,13.11971968,77.1188054,49.54397184,90.48051612,24.5097984,3386.3522,5409.4554
2024-01-03,4.33518316,5.87012612,3.32270772,24.47439525,12.8011068,7.9785896,35.7686202,19.15850858,27.13916493,10.13,8.77020469,1575.823172,121.43934288,23.56147144,35.1470379,43.85377962,66.7163431,276.0440634,147.8459426,62.85771117,31.03120698,32.25002715,6.55490472,28.93922444,12.03759606,12.99576884,76.95614787,49.4440848,89.7198676,24.25129662,3378.2971,5401.395
2024-01-04,4.37996811,5.91446242,3.36736777,24.50964825,12.7487862,7.90053818,35.3147037,18.98762,25.92268155,9.93,8.52788235,1552.567222,119.13444432,23.48010028,33.97072678,43.41752226,65.82171596,272.24345673,143.4807864,62.80890102,30.58066314,32.0822125,6.68996457,29.33408954,12.01838202,12.86228332,75.2051874,50.170536,90.90208036,23.87790516,3347.0519,5355.3216
2024-01-05,4.36205413,5.8967279,3.33163973,24.93268425,12.9144681,8.03929626,35.37825201,18.78824999,25.8744084,9.99,8.54652253,1547.32067968,118.16206524,23.61571888,33.1548981,41.5931733,64.82239841,270.22408677,143.1961023,62.69826468,30.43986819,32.0822125,6.74398851,29.3516391,11.97995394,12.78600588,73.69342918,50.4883584,90.040623,23.5045137,3329.1114,5281.8711
2024-01-08,4.37101112,5.90559516,3.32270772,24.79167225,12.818547,7.9352277,34.90617885,18.43697902,25.33374912,9.82,8.44400154,1529.30196962,115.3349631,23.6428426,32.73749738,40.76031834,64.20377326,265.8519603,142.34205,61.6309494,29.73589344,30.92725285,6.72598053,29.5271347,11.8166346,12.633451,72.1433986,49.94352,90.16892516,22.4034876,3286.0564,5167.6997
2024-01-09,4.37101112,5.90559516,3.32270772,24.82692525,12.8011068,7.96124484,34.84263054,18.47495426,25.44960468,9.88,8.49992208,1526.520558,115.07386131,23.78750244,32.83236118,40.8495528,64.1466694,268.38569808,141.1084189,62.75683686,29.23841795,31.0555817,6.71697654,29.8781259,11.94152586,12.59531228,76.75521798,50.09789088,89.68320984,22.75773078,3292.4994,5180.653
2024-01-10,4.34414015,5.83465708,3.31377571,24.72116625,12.7400661,7.88319342,34.33424406,18.47495426,24.9089454,9.74,8.45332163,1526.985677,115.9652088,24.02257468,33.03157516,41.147001,64.35605022,264.39458481,142.96835502,61.92055629,28.48751155,30.8186669,6.67195659,29.7026303,11.79742056,12.61438164,78.1712953,50.14329408,88.46433932,22.7864532,3277.129,5158.0784
2024-01-11,4.28144122,5.763719,3.26018365,25.0120035,12.7836666,7.95257246,34.88802219,18.6078676,24.96687318,9.76,8.49060199,1531.70198366,116.70349662,24.0496984,33.06952068,41.12717112,68.28669925,266.8997466,146.91597454,64.03240878,28.96621438,30.8976385,6.50988477,29.1761435,11.66292228,12.86228332,78.52531463,49.94352,87.39209984,23.10239982,3295.6717,5223.8633
2024-01-12,4.30831219,5.8080553,3.3048437,25.1530155,12.8098269,7.96991722,34.52488899,18.53191712,24.83170836,9.7,8.51856226,1528.43684828,115.92019125,24.185317,32.76595652,40.7504034,68.35332042,263.851641,146.73567461,63.73629387,28.56260219,30.206637,6.50988477,29.50081036,11.7205644,12.70019376,77.31973529,49.94352,87.3371132,22.55667384,3284.1667,5206.178
2024-01-15,4.35309714,5.83465708,3.31377571,25.35572025,12.8447073,7.98726198,34.65198561,18.49394188,24.97652781,9.71,8.40672118,1525.59032,115.85716668,24.14915204,32.54776978,41.15691594,69.14325715,265.2804405,143.9552599,63.32628861,28.6283065,30.2856086,6.59992467,29.86935112,11.64370824,12.66205504,78.69754025,50.74261632,88.5743126,22.62369282,3280.9195,5193.2956
