,ann_return,ann_vol,sharpe,max_drawdown,cvar_95,calmar,skew,kurtosis,n_days
degree,19.44,15.25,1.275,-11.98,-2.0854,1.6228,-0.267,10.4551,474.0
betweenness,19.6,15.27,1.2831,-12.16,-2.0884,1.6119,-0.2396,10.6185,474.0
closeness,18.73,15.44,1.2132,-12.59,-2.1135,1.4878,-0.2284,10.3812,474.0
eigenvector,19.35,15.3,1.2654,-11.98,-2.0891,1.6153,-0.2234,10.2267,474.0
