strategy,raw_p,adjusted_p,significant
BL无观点,0.4618,1.0,False
★去噪风险平价,0.5034,1.0,False
风险平价(RP),0.5142,1.0,False
★社区BL-RP,0.5174,1.0,False
网络正则化RP,0.5213,1.0,False
层次化RP(HRP),0.5256,1.0,False
★网络增强BL,0.5912,1.0,False
PageRank(规则3),0.6267,1.0,False
反中心性(规则1),0.6767,1.0,False
BL动量观点,0.7189,1.0,False
均值方差(MV),0.7203,1.0,False
直接中心性(规则2),0.7483,1.0,False
