,ann_return,ann_vol,sharpe,max_drawdown,cvar_95,calmar,skew,kurtosis,n_days
0bp,19.6,15.27,1.2831,-12.16,-2.0884,1.6119,-0.2396,10.6185,474.0
5bp,19.47,15.27,1.2745,-12.2,-2.0897,1.5958,-0.2396,10.6163,474.0
10bp,19.33,15.27,1.2658,-12.24,-2.0909,1.5798,-0.2396,10.6139,474.0
20bp,19.07,15.28,1.2486,-12.32,-2.0935,1.5482,-0.2395,10.6083,474.0
