,degree,betweenness,closeness,eigenvector
工商银行,0.06896551724137931,0.06896551724137931,0.14720812182741116,0.027567528101524307
招商银行,0.06896551724137931,0.1330049261083744,0.1695906432748538,0.06017811061077108
中国平安,0.06896551724137931,0.2955665024630542,0.2283464566929134,0.21748226194864823
贵州茅台,0.034482758620689655,0.0,0.2116788321167883,0.16802341301007395
宁德时代,0.06896551724137931,0.06896551724137931,0.17365269461077845,0.051126929944264224
比亚迪,0.034482758620689655,0.0,0.14871794871794872,0.019880086907343244
中国石油,0.034482758620689655,0.0,0.1657142857142857,0.04945884893857429
紫金矿业,0.06896551724137931,0.41379310344827586,0.26605504587155965,0.2804771635104017
企业债指数,0.034482758620689655,0.0,0.1324200913242009,0.009405473854473002
国债ETF,0.034482758620689655,0.0,0.1518324607329843,0.030374672778189987
十年国债ETF,0.10344827586206896,0.1354679802955665,0.17791411042944785,0.0781111071382963
短债ETF,0.06896551724137931,0.06896551724137931,0.17575757575757575,0.0641948749645171
五年地债ETF,0.034482758620689655,0.0,0.15025906735751296,0.024963009741811936
活跃国债ETF,0.034482758620689655,0.0,0.1518324607329843,0.030374672778189987
沪深300ETF,0.034482758620689655,0.0,0.232,0.21688129259002784
中证500ETF,0.10344827586206896,0.39408866995073893,0.23577235772357724,0.18309547611113558
创业板ETF,0.10344827586206896,0.3103448275862069,0.20567375886524822,0.11160629186073744
上证50ETF,0.034482758620689655,0.0,0.2116788321167883,0.16802341301007395
银行ETF,0.034482758620689655,0.0,0.1288888888888889,0.010719261672196796
证券ETF,0.034482758620689655,0.0,0.19205298013245034,0.07119468221884773
医药ETF,0.06896551724137931,0.1330049261083744,0.17575757575757575,0.05280228068320957
红利ETF,0.10344827586206896,0.2536945812807882,0.19727891156462585,0.12719652379841895
黄金ETF,0.06896551724137931,0.3793103448275862,0.23577235772357724,0.16354901944885925
能源化工ETF,0.034482758620689655,0.0,0.232,0.21688129259002784
豆粕ETF,0.06896551724137931,0.06896551724137931,0.1518324607329843,0.024188716920686863
十年国债期货,0.13793103448275862,0.3669950738916256,0.20863309352517986,0.14012170012128586
五年国债期货,0.034482758620689655,0.0,0.17365269461077845,0.054487606083608156
沪深300股指期货,0.1724137931034483,0.7339901477832512,0.29896907216494845,0.557764536037953
中证500股指期货,0.06896551724137931,0.41379310344827586,0.26605504587155965,0.28807597480887553
上证50股指期货,0.13793103448275862,0.4458128078817734,0.26605504587155965,0.432115072440351
