,ann_return,ann_vol,sharpe,max_drawdown,cvar_95,calmar,skew,kurtosis,n_days
PMFG,19.6,15.27,1.2831,-12.16,-2.0884,1.6119,-0.2396,10.6185,474.0
MST,17.13,15.08,1.1362,-12.98,-2.0491,1.3198,-0.2402,11.7996,474.0
GLASSO,18.93,14.47,1.3082,-8.83,-1.913,2.1452,0.1429,9.0266,474.0
