community,n_assets,members
0,9,"工商银行, 建设银行, 农业银行, 招商银行, 兴业银行, 平安银行, 中国石油, 中国神华, 中国移动"
1,10,"中国平安, 中国人寿, 万科A, 保利发展, 贵州茅台, 五粮液, 伊利股份, 海天味业, 中国中免, 美的集团"
2,11,"中信证券, 恒瑞医药, 药明康德, 迈瑞医疗, 宁德时代, 比亚迪, 海康威视, 立讯精密, 紫金矿业, 三一重工, 中兴通讯"
