community,n_assets,members
0,7,"国债ETF, 十年国债ETF, 短债ETF, 五年地债ETF, 活跃国债ETF, 十年国债期货, 五年国债期货"
1,5,"工商银行, 招商银行, 中国石油, 银行ETF, 红利ETF"
2,6,"中国平安, 贵州茅台, 沪深300ETF, 上证50ETF, 证券ETF, 上证50股指期货"
3,10,"宁德时代, 比亚迪, 企业债指数, 中证500ETF, 创业板ETF, 医药ETF, 能源化工ETF, 豆粕ETF, 沪深300股指期货, 中证500股指期货"
4,2,"紫金矿业, 黄金ETF"
