,ann_return,ann_vol,sharpe,max_drawdown,cvar_95,calmar,skew,kurtosis,n_days
0bp,5.92,2.91,2.0328,-1.24,-0.3904,4.7576,-0.1183,3.4659,474.0
5bp,5.69,2.92,1.9512,-1.24,-0.3966,4.5794,-0.1326,3.4372,474.0
10bp,5.47,2.93,1.8686,-1.27,-0.4028,4.3134,-0.152,3.419,474.0
20bp,5.03,2.96,1.701,-1.41,-0.4152,3.569,-0.2095,3.443,474.0
