,ann_return,ann_vol,sharpe,max_drawdown,cvar_95,calmar,skew,kurtosis,n_days
degree,6.37,2.92,2.18,-1.21,-0.3772,5.244,0.1129,2.2826,474.0
betweenness,5.92,2.91,2.0328,-1.24,-0.3904,4.7576,-0.1183,3.4659,474.0
closeness,7.05,3.78,1.8679,-1.9,-0.5007,3.7065,-0.1374,6.2556,474.0
eigenvector,7.07,3.7,1.9123,-1.88,-0.4839,3.7522,-0.1264,6.0613,474.0
