,ann_return,ann_vol,sharpe,max_drawdown,cvar_95,calmar,skew,kurtosis,n_days
等权(1/N),16.43,12.95,1.2689,-8.24,-1.5905,1.9928,0.5421,6.6981,231.0
均值方差(MV),18.86,12.99,1.4515,-7.85,-1.7991,2.4013,-0.4483,2.5972,231.0
风险平价(RP),9.16,3.11,2.9424,-1.04,-0.358,8.7678,0.2237,4.2291,231.0
层次化RP(HRP),6.87,1.53,4.5027,-0.63,-0.2043,10.9335,-0.2966,2.9204,231.0
BL无观点,8.44,2.51,3.3697,-0.77,-0.2961,10.9952,0.1599,1.9348,231.0
BL动量观点,20.34,18.91,1.0753,-9.38,-2.5709,2.1688,0.5545,10.9223,231.0
反中心性(规则1),15.91,12.73,1.2505,-7.86,-1.5629,2.0237,0.584,6.5988,231.0
直接中心性(规则2),19.57,14.7,1.3309,-9.67,-1.7908,2.024,0.4775,6.4901,231.0
PageRank(规则3),17.66,14.43,1.2235,-8.96,-1.756,1.9697,0.6497,6.816,231.0
网络正则化RP,7.96,3.02,2.633,-1.24,-0.3596,6.4,0.4763,2.3107,231.0
★网络增强BL,6.73,2.64,2.5527,-1.21,-0.325,5.5627,-0.0525,0.5147,231.0
★去噪风险平价,8.93,2.75,3.2461,-0.88,-0.3189,10.1124,0.121,3.009,231.0
★社区BL-RP,11.41,4.31,2.6483,-1.91,-0.4966,5.9742,0.4358,3.4916,231.0
◆最小方差(MinVar),8.03,2.23,3.6081,-0.73,-0.2574,10.9991,0.0419,0.2931,231.0
◆最大分散化(MaxDiv),12.3,6.58,1.871,-4.36,-0.8178,2.8196,0.4485,5.3156,231.0
◆拉普拉斯MV,17.76,12.97,1.3695,-7.6,-1.8113,2.3374,-0.4683,2.8406,231.0
◆图过滤RP,9.43,3.88,2.4332,-1.72,-0.4453,5.4897,0.3197,5.3828,231.0
◆图平滑动量BL,21.05,18.77,1.1211,-9.93,-2.5771,2.1197,0.4776,11.6817,231.0
◆网络约束MinVar,8.16,2.51,3.2478,-0.91,-0.2997,9.0188,0.0506,0.668,231.0
◆社区MinVar,8.91,2.68,3.3225,-0.75,-0.2942,11.9433,0.4639,1.7851,231.0
