community,n_assets,members
0,9,"工商银行, 招商银行, 中国平安, 中国石油, 紫金矿业, 上证50ETF, 银行ETF, 红利ETF, 黄金ETF"
1,4,"贵州茅台, 豆粕ETF, 沪深300股指期货, 上证50股指期货"
2,10,"宁德时代, 比亚迪, 企业债指数, 沪深300ETF, 中证500ETF, 创业板ETF, 证券ETF, 医药ETF, 能源化工ETF, 中证500股指期货"
3,7,"国债ETF, 十年国债ETF, 短债ETF, 五年地债ETF, 活跃国债ETF, 十年国债期货, 五年国债期货"
