对比,MST边重叠率,PMFG边重叠率,介数秩相关,社区NMI
2023 vs 2024,0.45,0.4237,0.4679,0.6267
2024 vs 2025,0.381,0.4237,0.174,0.6678
2023 vs 2025,0.4146,0.4237,0.3436,0.8007
