,ann_return,ann_vol,sharpe,max_drawdown,cvar_95,calmar,skew,kurtosis,n_days,turnover,effective_n
等权(1/N),15.4,11.22,1.3727,-8.24,-1.5165,1.8684,-0.1188,9.2272,474.0,0.0,30.0
均值方差(MV),23.21,14.44,1.6068,-10.34,-2.0547,2.2434,-0.8997,6.3398,474.0,0.2749,10.0
风险平价(RP),6.55,2.73,2.3959,-1.14,-0.3497,5.7587,-0.1164,5.139,474.0,0.021,13.81
层次化RP(HRP),3.86,1.45,2.6632,-1.22,-0.2047,3.1502,-0.2276,2.4344,474.0,0.0652,9.15
BL无观点,5.65,2.23,2.5322,-1.17,-0.2936,4.8198,-0.0592,2.5036,474.0,0.0254,12.12
BL动量观点,21.97,16.58,1.3253,-9.49,-2.3452,2.3154,0.3301,9.6057,474.0,0.7159,10.43
反中心性(规则1),14.87,11.05,1.3454,-7.86,-1.4973,1.8907,-0.1197,9.3485,474.0,0.1073,27.45
直接中心性(规则2),18.53,12.78,1.4505,-9.67,-1.6809,1.917,0.0035,7.5398,474.0,0.4699,9.28
PageRank(规则3),16.0,12.36,1.2945,-8.96,-1.655,1.7844,0.0408,9.2171,474.0,0.0892,24.24
网络正则化RP,5.92,2.91,2.0328,-1.24,-0.3904,4.7576,-0.1183,3.4659,474.0,0.317,5.62
★网络增强BL,5.54,2.67,2.0785,-1.41,-0.3597,3.9313,0.0153,2.0136,474.0,0.0547,10.51
★去噪风险平价,6.25,2.42,2.5861,-1.15,-0.3126,5.4559,-0.1029,3.5981,474.0,0.0128,12.14
★社区BL-RP,8.21,3.98,2.0644,-1.96,-0.5151,4.1847,-0.1819,5.4807,474.0,0.1091,16.09
◆最小方差(MinVar),5.63,2.07,2.7157,-1.38,-0.2694,4.0686,-0.0926,0.8845,474.0,0.0373,11.72
◆最大分散化(MaxDiv),9.74,5.54,1.7572,-4.36,-0.7417,2.2318,-0.0039,7.7982,474.0,0.0993,16.94
◆拉普拉斯MV,22.01,14.46,1.522,-10.52,-2.09,2.0925,-0.9644,6.7469,474.0,0.2905,11.49
◆图过滤RP,7.19,3.41,2.109,-1.72,-0.435,4.1855,-0.1586,6.8766,474.0,0.0254,15.42
◆图平滑动量BL,21.98,16.53,1.3292,-10.2,-2.3825,2.1542,0.2549,10.0855,474.0,0.7179,10.62
◆网络约束MinVar,6.16,2.34,2.6263,-1.39,-0.3055,4.4433,-0.1184,1.2886,474.0,0.0676,12.45
◆社区MinVar,5.79,2.5,2.3155,-1.32,-0.3188,4.3754,0.0643,2.3219,474.0,0.1641,13.16
