gamma,ann_return,ann_volatility,sharpe,cvar_95
0.0,9.4,3.47,2.7077,0.2492
0.01,9.09,3.47,2.6196,0.2409
0.05,9.06,3.45,2.6296,0.238
0.1,9.06,3.44,2.6358,0.2357
0.2,9.08,3.43,2.6447,0.2339
0.5,9.11,3.43,2.6572,0.2404
1.0,9.08,3.42,2.6525,0.2374
2.0,8.95,3.43,2.6087,0.2276
5.0,8.69,3.49,2.491,0.2228
10.0,8.48,3.58,2.3697,0.2468
