,degree,betweenness,closeness,eigenvector
上证50ETF,0.41379310344827586,0.40936811114734367,0.5686274509803921,0.3921508363088983
银行ETF,0.27586206896551724,0.242742845047097,0.5,0.24001003781094615
创业板ETF,0.3793103448275862,0.2073900489508475,0.47540983606557374,0.30745920083649364
十年国债ETF,0.27586206896551724,0.15164308535451906,0.3918918918918919,0.12075146782430547
沪深300ETF,0.3448275862068966,0.1378616797984182,0.46774193548387094,0.3281372543481606
招商银行,0.24137931034482757,0.1184440667361331,0.48333333333333334,0.2373313420280884
活跃国债ETF,0.24137931034482757,0.10418657900833166,0.3972602739726027,0.14156845809453322
沪深300股指期货,0.27586206896551724,0.07750024560369387,0.453125,0.27520985394245656
红利ETF,0.24137931034482757,0.06364426415632017,0.4603174603174603,0.20311045213673504
上证50股指期货,0.24137931034482757,0.06133445482680639,0.46774193548387094,0.25282719996633535
