,ann_return,ann_vol,sharpe,max_drawdown,cvar_95,calmar,skew,kurtosis,n_days
固定调仓,5.92,2.91,2.0328,-1.24,-0.3904,4.7576,-0.1183,3.4659,474.0
自适应调仓,5.18,2.79,1.8607,-1.31,-0.3698,3.9566,-0.1763,3.718,474.0
