,ann_return,ann_vol,sharpe,max_drawdown,cvar_95,calmar,skew,kurtosis,n_days
τ=126,5.74,3.98,1.4423,-3.37,-0.5272,1.7044,0.2784,9.4606,600.0
τ=189,5.96,3.41,1.7493,-1.88,-0.4774,3.1687,-0.1027,3.7205,537.0
τ=252,5.92,2.91,2.0328,-1.24,-0.3904,4.7576,-0.1183,3.4659,474.0
τ=378,5.52,2.78,1.9895,-1.11,-0.3807,4.9653,-0.1822,3.6204,348.0
τ=504,3.13,2.04,1.5312,-0.89,-0.293,3.5106,-0.3298,0.979,222.0
