,年化收益(%),年化波动(%),偏度,峰度
工商银行,16.75,16.49,0.254,5.813
建设银行,21.78,18.21,-0.049,3.886
农业银行,29.3,18.99,0.027,5.563
招商银行,-25.82,22.4,0.668,1.334
兴业银行,-6.32,15.14,0.801,4.836
平安银行,-37.51,21.02,0.737,1.59
中国平安,-12.39,26.18,0.988,3.295
中信证券,2.92,24.36,0.772,3.749
中国人寿,-25.47,31.31,0.73,2.134
万科A,-52.85,26.14,1.159,3.295
保利发展,-42.92,27.84,1.112,3.744
贵州茅台,2.55,20.48,0.397,3.173
五粮液,-22.6,27.08,0.733,1.059
伊利股份,-10.85,19.13,0.665,3.253
海天味业,-54.63,25.63,0.057,3.256
恒瑞医药,17.52,30.07,0.236,4.783
药明康德,-10.74,36.95,0.098,3.388
迈瑞医疗,-4.14,23.16,-0.031,3.339
宁德时代,-28.81,31.04,0.528,1.459
比亚迪,-28.22,27.13,0.254,1.433
海康威视,3.38,32.71,0.481,0.616
立讯精密,9.77,36.72,-0.198,1.935
中国石油,41.56,29.85,0.695,3.297
中国神华,20.72,20.21,0.414,3.065
紫金矿业,19.8,31.34,0.723,2.103
三一重工,-14.22,27.13,1.348,5.074
中国中免,-97.48,33.32,0.97,2.372
美的集团,10.51,24.16,0.527,1.362
中国移动,38.34,32.39,0.159,3.476
中兴通讯,3.54,44.36,0.009,1.5
沪深300指数,-13.07,13.51,0.352,0.512
中证500指数,-9.68,13.09,-0.252,0.291
