,degree,betweenness,closeness,eigenvector
工商银行,0.20689655172413793,0.034440021752772935,0.3625,0.07174163509693511
建设银行,0.27586206896551724,0.20212848408976178,0.4142857142857143,0.10101111600973046
农业银行,0.13793103448275862,0.006837636455233119,0.3493975903614458,0.04916188372149528
招商银行,0.20689655172413793,0.07553080243651975,0.4603174603174603,0.14597389039533729
兴业银行,0.20689655172413793,0.11191448808065921,0.4603174603174603,0.1327082080001595
平安银行,0.24137931034482757,0.1888110475618192,0.5178571428571429,0.20889829766654594
中国平安,0.41379310344827586,0.30579663676072405,0.5686274509803921,0.362568449859514
中信证券,0.13793103448275862,0.0044258449430863225,0.4142857142857143,0.16421269560747748
中国人寿,0.13793103448275862,0.0063881520778072505,0.453125,0.15632924596876457
万科A,0.13793103448275862,0.008796392120066417,0.43283582089552236,0.1606512434330199
保利发展,0.10344827586206896,0.0,0.3625,0.1157702367931555
贵州茅台,0.1724137931034483,0.017101088888252028,0.4603174603174603,0.19095198489847087
五粮液,0.27586206896551724,0.0418523023709926,0.46774193548387094,0.2708401560918298
伊利股份,0.10344827586206896,0.0,0.3815789473684211,0.12021208949094124
海天味业,0.4482758620689655,0.25311230701130283,0.5576923076923077,0.38912411851204265
恒瑞医药,0.13793103448275862,0.004884760000951905,0.4084507042253521,0.15080355783481442
药明康德,0.10344827586206896,0.0,0.35802469135802467,0.1026354519645949
迈瑞医疗,0.1724137931034483,0.006280788177339902,0.4142857142857143,0.18986855578168108
宁德时代,0.20689655172413793,0.01395700959044287,0.42028985507246375,0.18771447155257376
比亚迪,0.10344827586206896,0.0,0.37662337662337664,0.10831537998753617
海康威视,0.27586206896551724,0.059466059466059464,0.46774193548387094,0.25569886307955547
立讯精密,0.10344827586206896,0.0,0.35802469135802467,0.1092397089078324
中国石油,0.13793103448275862,0.016015842699979622,0.30851063829787234,0.02755074664200694
中国神华,0.20689655172413793,0.02914545391883403,0.31521739130434784,0.04251745431252041
紫金矿业,0.10344827586206896,0.0,0.2457627118644068,0.015046610701546887
三一重工,0.13793103448275862,0.0035303776683087034,0.4264705882352941,0.15764274336068657
中国中免,0.48275862068965514,0.20688044751013268,0.5178571428571429,0.38798470134835433
美的集团,0.10344827586206896,0.0,0.3918918918918919,0.10961576069534791
中国移动,0.1724137931034483,0.022572693528969585,0.3118279569892473,0.036431668175413476
中兴通讯,0.13793103448275862,0.0008210180623973727,0.3625,0.12956689638363106
