,工商银行,建设银行,农业银行,招商银行,兴业银行,平安银行,中国平安,中信证券,中国人寿,万科A,保利发展,贵州茅台,五粮液,伊利股份,海天味业,恒瑞医药,药明康德,迈瑞医疗,宁德时代,比亚迪,海康威视,立讯精密,中国石油,中国神华,紫金矿业,三一重工,中国中免,美的集团,中国移动,中兴通讯
工商银行,1.0,0.6310445834817145,0.6193349158982311,0.5106170918195646,0.4724204412820971,0.39195673491327854,0.21199581002326834,-0.01523059522616718,0.22001062057491813,0.018127296337592885,-0.016623301369829847,0.14815984501480542,0.10120650821855419,0.10558431262672666,0.09083627750325968,-0.08362819988908533,-0.14444644063221027,-0.048396206426621693,-0.022917846621951947,-0.02718250884949993,-0.03316892853499914,-0.09181840087606846,0.30953689958350966,0.2459325526440676,-0.12722709653213238,-0.07889933710200026,-0.08963870849614086,0.1895007189031382,0.19779739646735559,-0.16882195759440283
建设银行,0.6310445834817145,1.0,0.5782244417538738,0.4445000806073278,0.4474876002103382,0.3643769115832615,0.14354158905962,-0.07886088031092128,0.1683989338050106,0.010685454968904919,-0.037215046495837,0.08048054852279944,0.049172936683515175,0.04956840785176438,0.019875049150420813,-0.08281514495043843,-0.14626698390133416,-0.09766226101432351,-0.11100389860236809,-0.09759242364677452,-0.06828316787966661,-0.1454630123686378,0.29081143128407705,0.23001305914837042,-0.08490214521888298,-0.07884088097323191,-0.10853848726313259,0.1804049805506498,0.25210898220057737,-0.11850630785897964
农业银行,0.6193349158982311,0.5782244417538738,1.0,0.4090383095750165,0.4224348591308892,0.35598303919286584,0.1862788254850475,0.032821284247953844,0.26979302160246027,-0.03681441594523217,-0.006802730271324543,0.13479028209672525,0.07315784285747445,0.07080691755409944,0.1169280886454328,-0.030430498152522096,-0.11595220783424437,-0.00419611965683693,-0.0071318515381000825,-0.027817506518130145,-0.0171461330940248,-0.09930802650824304,0.3182444149195692,0.2433585445327829,-0.07854424557661956,-0.10639531094436551,-0.07541441011515923,0.20863874361613766,0.17166093904937363,-0.10126976634906597
招商银行,0.5106170918195646,0.4445000806073278,0.4090383095750165,1.0,0.583544984728733,0.47361299296002213,0.35881533943309896,0.17543653932180558,0.3305896814828556,0.07202888345438153,0.07016129579366173,0.3021212314640265,0.24739359223800492,0.19452924027753019,0.1696899616610813,-0.06734684849842637,-0.018440220829786885,0.06563960252262058,0.13407244361660856,0.16185148016484652,0.06432086158437672,0.03522997496497852,0.34630676625086804,0.250941357666054,0.061469777031381345,0.11743979957121234,0.02286885671210493,0.2649262780742832,0.12178335910374939,-0.04921359176815485
兴业银行,0.4724204412820971,0.4474876002103382,0.4224348591308892,0.583544984728733,1.0,0.507374750779917,0.3618905669655603,0.18898867750273596,0.3395874322193614,0.10892846784856304,0.12233383320192438,0.2750034872055451,0.21178673642216336,0.18997377852428945,0.1634297424686449,-0.009776062822951211,-0.06934453798347956,0.10334279753246378,0.09546503625037518,0.1785252924130834,0.05956049509344408,0.017666020512552973,0.2970966323456161,0.2231913861502595,0.024416156875943684,0.05474041754619325,0.06715732402773295,0.2688971475708562,0.16076808301810983,-0.020468250084185464
平安银行,0.39195673491327854,0.3643769115832615,0.35598303919286584,0.47361299296002213,0.507374750779917,1.0,0.4074905821083254,0.2223487301589837,0.3611731184411181,0.20868655475781592,0.21804393339102063,0.24225825122457997,0.2731609347843892,0.23513922273910204,0.1727574646240182,0.09302394011854198,0.04646684671549995,0.14775814194657685,0.15327514073073348,0.09306772579434268,0.11977985322267136,0.03176245041017264,0.31166283941387873,0.20678242876060385,0.12906811486012684,0.048029401246930455,0.0908618203596867,0.23266820818689998,0.17087654835264907,0.03481390271667095
中国平安,0.21199581002326834,0.14354158905962,0.1862788254850475,0.35881533943309896,0.3618905669655603,0.4074905821083254,1.0,0.5767351429474115,0.6856418981836455,0.3042892576429764,0.32380151943360164,0.4462597830945819,0.4460013724800445,0.3173523394510091,0.37014063484254967,0.21514397447799313,0.24148888809608632,0.3066425653805793,0.35300739075432497,0.31556220315844485,0.259553822575861,0.1827857903154783,0.1871373751015135,0.13712430247432822,0.19412108826922633,0.18750001989788714,0.18749419042041043,0.3311389980254591,0.09156393013570774,0.10945694691467123
中信证券,-0.01523059522616718,-0.07886088031092128,0.032821284247953844,0.17543653932180558,0.18898867750273596,0.2223487301589837,0.5767351429474115,1.0,0.5888770445534742,0.37335558093474924,0.3976944216406579,0.3846467682154409,0.3868858525098155,0.2587105109659813,0.3471583986008896,0.21857873736050829,0.3449062924070348,0.34443514660621183,0.4245427118981368,0.4329739265093161,0.4189656504354108,0.3625059352642725,0.0790001303235824,0.045920416651504856,0.28301458566091225,0.2896807815748745,0.3143526942982924,0.1958534610298523,0.018194252978161844,0.4143495723849389
中国人寿,0.22001062057491813,0.1683989338050106,0.26979302160246027,0.3305896814828556,0.3395874322193614,0.3611731184411181,0.6856418981836455,0.5888770445534742,1.0,0.286412759412636,0.34230021552159867,0.4480369516620414,0.4378171903087458,0.33837274728348354,0.405679092647946,0.21223986803344033,0.22629550219927824,0.3116897703969841,0.35881081019175665,0.3389751800144332,0.2904015486592792,0.1975701165926603,0.2446953298970102,0.2063554248625488,0.18723494581835828,0.1710602479351564,0.1912700160324519,0.3111368717070267,0.11845254185812476,0.21715438892136069
万科A,0.018127296337592885,0.010685454968904919,-0.03681441594523217,0.07202888345438153,0.10892846784856304,0.20868655475781592,0.3042892576429764,0.37335558093474924,0.286412759412636,1.0,0.7113194146635736,0.3241217855693448,0.3883315808724697,0.24450699429544578,0.321812434746034,0.18376434580082873,0.20639512414280692,0.2530337387780491,0.2331482891684637,0.24577289183032663,0.18983767839392035,0.17288004939374826,0.0629871806281105,0.07147941679534943,0.12704078999598245,0.29986986629321577,0.38701950085973563,0.16326222980814836,0.08113491345233079,0.13434245367318823
